Region,count,mean,std,min,25%,50%,75%,max
Africa and Red Sea,43.0,244.97674418604652,3333.3043486004503,-10450.0,1050.0,1888.0,2002.5,2022.0
Alaska,57.0,1025.578947368421,1871.0140484637927,-7600.0,1200.0,1929.0,1998.0,2022.0
Antarctica,16.0,527.3125,3094.661784832068,-8350.0,1366.5,1936.5,2009.25,2022.0
Atlantic Ocean,25.0,1185.96,1567.5482576303673,-4500.0,1564.0,1865.0,1962.0,2021.0
Canada and Western USA,47.0,-1017.531914893617,3241.0330737017885,-9450.0,-2820.0,480.0,1275.0,2008.0
Hawaii and Pacific Ocean,27.0,1099.5555555555557,1630.6371414816624,-3490.0,850.0,1972.0,1994.5,2022.0
Iceland and Arctic Ocean,30.0,1067.5333333333333,1519.117069637613,-3500.0,952.5,1849.5,1981.25,2022.0
Indonesia,80.0,1820.2375,1144.4749527898332,-8050.0,1938.75,2000.0,2018.0,2022.0
"Japan, Taiwan, Marianas",108.0,935.4166666666666,2285.6552716951956,-9540.0,1162.5,1921.5,1997.25,2022.0
Kamchatka and Mainland Asia,69.0,-359.40579710144925,2772.8937227403717,-8050.0,-1550.0,390.0,1907.0,2022.0
Kuril Islands,31.0,1647.8064516129032,1695.0922377922848,-7480.0,1899.0,1957.0,2011.5,2022.0
Mediterranean and Western Asia,29.0,-606.7931034482758,3092.8760353351922,-8300.0,-2000.0,140.0,1867.0,2022.0
Melanesia and Australia,44.0,1380.340909090909,1682.3368014866594,-5050.0,1892.75,1969.0,2016.0,2022.0
Middle East and Indian Ocean,18.0,392.55555555555554,2550.9921996380895,-6050.0,537.5,1524.5,2004.75,2022.0
M̩xico and Central America,50.0,887.94,2248.9996089871806,-7638.0,1180.0,1952.5,2014.75,2022.0
New Zealand to Fiji,36.0,1415.138888888889,1578.0645859094573,-5060.0,1765.0,1980.0,2009.75,2022.0
Philippines and SE Asia,25.0,938.68,2345.048093323461,-6050.0,1454.0,1882.0,1953.0,2022.0
South America,113.0,554.2035398230089,2430.19398902085,-6890.0,255.0,1835.0,1990.0,2022.0
West Indies,12.0,1496.9166666666667,694.1772708273683,160.0,1182.5,1849.0,2001.0,2021.0
